station,date,18,21,00,03,06,09,12,15
Актобе,2000-01-01,73,76,82,80,74,75,77,77
Актобе,2000-01-02,80,86,86,89,75,68,67,65
Актобе,2000-01-03,67,74,75,79,78,76,75,73
Актобе,2000-01-04,74,73,75,72,69,63,70,72
Актобе,2000-01-05,72,75,83,84,85,70,66,80
Актобе,2000-01-06,80,82,82,80,78,78,69,78
Актобе,2000-01-07,78,80,82,85,85,73,84,85
Актобе,2000-01-08,84,84,80,87,83,78,84,87
Актобе,2000-01-09,89,85,85,88,86,84,85,85
Актобе,2000-01-10,89,92,92,92,91,87,88,87
Актобе,2000-01-11,92,92,90,92,91,87,87,88
Актобе,2000-01-12,94,97,91,88,86,91,84,87
Актобе,2000-01-13,83,81,81,87,85,79,79,88
Актобе,2000-01-14,88,90,85,88,81,81,87,85
Актобе,2000-01-15,86,84,82,85,79,75,84,84
Актобе,2000-01-16,84,87,87,90,93,87,81,86
Актобе,2000-01-17,89,92,92,89,82,76,75,86
Актобе,2000-01-18,86,88,92,89,89,76,81,86
Актобе,2000-01-19,85,85,85,76,76,72,76,83
Актобе,2000-01-20,84,88,88,85,96,91,86,81
Актобе,2000-01-21,81,86,87,89,91,93,94,92
Актобе,2000-01-22,91,85,85,88,87,78,81,82
Актобе,2000-01-23,83,83,82,82,82,82,82,82
Актобе,2000-01-24,83,90,81,80,83,74,77,81
Актобе,2000-01-25,81,81,81,80,80,79,79,79
Актобе,2000-01-26,76,76,67,75,77,70,74,83
Актобе,2000-01-27,84,84,88,96,99,91,87,91
Актобе,2000-01-28,94,93,78,73,69,54,57,77
Актобе,2000-01-29,83,83,80,80,73,58,60,69
Актобе,2000-01-30,72,81,89,93,93,90,91,93
Актобе,2000-01-31,94,93,79,75,75,71,76,76
Актобе,2000-02-01,78,80,80,77,74,72,77,77
Актобе,2000-02-02,77,78,88,95,91,87,90,91
Актобе,2000-02-03,92,90,86,81,78,82,86,91
Актобе,2000-02-04,93,96,96,96,96,96,85,84
Актобе,2000-02-05,90,90,83,90,91,87,79,84
Актобе,2000-02-06,85,85,85,86,81,67,72,79
Актобе,2000-02-07,80,83,81,90,90,74,70,80
Актобе,2000-02-08,85,85,86,89,85,72,73,86
Актобе,2000-02-09,91,91,93,90,85,69,77,81
Актобе,2000-02-10,92,94,95,92,91,90,94,94
Актобе,2000-02-11,94,94,96,96,96,92,94,96
Актобе,2000-02-12,96,96,90,88,86,82,82,81
Актобе,2000-02-13,88,95,90,83,85,85,83,84
Актобе,2000-02-14,94,91,89,91,92,82,74,86
Актобе,2000-02-15,82,84,92,90,85,73,69,81
Актобе,2000-02-16,90,87,89,90,83,80,78,85
Актобе,2000-02-17,86,86,88,91,81,85,90,89
Актобе,2000-02-18,95,95,93,93,93,84,82,83
Актобе,2000-02-19,84,77,79,84,82,64,71,78
Актобе,2000-02-20,86,89,86,87,83,62,66,75
Актобе,2000-02-21,80,80,78,80,75,51,52,58
Актобе,2000-02-22,68,75,84,75,58,43,47,64
Актобе,2000-02-23,78,83,88,85,76,56,58,76
Актобе,2000-02-24,80,84,87,85,61,62,80,90
Актобе,2000-02-25,81,79,84,84,75,70,73,83
Актобе,2000-02-26,84,80,80,81,84,70,67,90
Актобе,2000-02-27,90,93,92,90,89,82,88,84
Актобе,2000-02-28,85,83,82,83,78,72,72,75
Актобе,2000-02-29,78,78,77,80,79,81,75,70
Актобе,2000-03-01,65,74,80,84,81,80,82,85
Актобе,2000-03-02,90,97,96,94,96,94,76,84
Актобе,2000-03-03,91,92,90,88,91,75,79,96
Актобе,2000-03-04,93,92,94,92,88,72,73,82
Актобе,2000-03-05,88,88,87,86,77,64,65,79
Актобе,2000-03-06,86,87,87,86,78,61,68,76
Актобе,2000-03-07,87,86,87,86,78,62,64,79
Актобе,2000-03-08,81,87,84,86,72,63,73,78
Актобе,2000-03-09,89,88,92,92,64,84,92,96
Актобе,2000-03-10,96,94,94,94,91,81,79,85
Актобе,2000-03-11,88,85,79,84,82,78,78,91
Актобе,2000-03-12,80,86,83,92,92,85,79,78
Актобе,2000-03-13,79,89,86,89,88,77,79,88
